STORE_NUMBER,STORE_NAME,STORE_NAME_FULL,CITY,STATE,LATITUDE,LONGITUDE,ADDRESS1,ZIP_CODE,L1_CATEGORY,L2_SUBCATEGORY,SERVICE_CODE,SERVICE_NAME,IS_OIL_TRANSACTION,TRANSACTION_COUNT,OFFERS_SERVICE
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,Engine Cleaning Service,EF,ENGINE FLUSH SERVICE,1,4,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,Engine Treatment,T128,GALLON ENGINE CLEAN ENGINE CLEANER 128oz,1,4,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,Fuel System Cleaner,T22G,2 STEP GDI FUEL SYSTEM GDI FUEL SYSTEM CLEANER,1,5,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,Fuel System Cleaner,FSS,FUEL SYSTEM CLEANING,1,4,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,High Mileage Treatment,FS3HM,FULL SERVICE PREMIUM SYNTHETIC BLEND WITH HIGH MILEAGE TREATMENT,1,23,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,High Mileage Treatment,T10828,HIGH MILEAGE TREATMENT,1,25,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,Oil System Cleaner,T108,OIL SYSTEM CLEANER ENGINE CLEANER 8oz,1,12,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Additives,Stop Leak,T1034,UNIVERSAL STOP LEAK ENGINE STOP LEAK,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C16177,C16177 CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C21423,C21423 CABIN AIR FILTER,1,2,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C21471C,C21471C CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C23134,C23134 CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C23147,C23147 CABIN AIR FILTER,1,2,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C25836,C25836 CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C25858,C25858 CABIN AIR FILTER,1,3,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C28183,C28183 CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C29064,C29064 CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C31449,C31449 CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C35479,C35479 CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C35519,C35519 CABIN AIR FILTER,1,2,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C35644,C35644 CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C35667,C35667 CABIN AIR FILTER,1,9,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C36115,C36115 CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C36156,C36156 CABIN AIR FILTER,1,3,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C38155,C38155 CABIN AIR FILTER,1,2,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C38173,C38173 CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C38214,C38214 CABIN AIR FILTER,1,6,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C38224C,C38224C CABIN AIR FILTER,1,4,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Cabin Air Filter,C48162,C48162 CABIN AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A1400,A1400 AIR FILTER,1,2,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A1431,A1431 AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A1432,A1432 AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A1444,A1444 AIR FILTER,1,2,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A1467,A1467 AIR FILTER,1,2,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A1479,A1479 AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A1480,A1480 AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A1502,A1502 AIR FILTER,1,2,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A1515,A1515 AIR FILTER,1,2,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A1517,A1517 AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A1529,A1529 AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A1535,A1535 AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A3465,A3465 AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A4645,A4645 AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A4731,A4731 AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A5314,A5314 AIR FILTER,1,3,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A5353,A5353 AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A5396,A5396 AIR FILTER,1,1,1
1,Grease Monkey (ADI) #1,Grease Monkey (ADI),Thornton,CO,39.858704,-104.978372,8885 N. Washington St.,80229,Air Filters,Engine Air Filter,A5400,A5400 AIR FILTER,1,1,1
